TJV-7387-ZUB#Sortir 1#-21.547577#74.536791
GOO-2385-MVM#Sortir 955#-83.182812#95.496001
FII-6332-LRL#Sortir 956#-63.576612#147.751772
PVD-1168-PLF#Sortir 957#-53.484831#29.201437
KJQ-3472-AMY#Sortir 958#-81.131114#145.743562
DRR-4513-OFP#Sortir 959#-69.391863#-90.949226
ZIL-5936-AJJ#Sortir 960#4.871999#44.83239
TTL-4502-ECM#Sortir 961#45.464892#-17.045455
IUH-9708-YIF#Sortir 962#78.299742#-148.183542
XRB-6853-WFL#Sortir 963#57.090612#71.40769
TOU-0877-XQK#Sortir 964#38.65699#102.22001
FEG-4403-XEF#Sortir 965#26.872174#-3.236858
JGN-1408-JOJ#Sortir 966#58.82437#12.703491
YFM-2850-MFK#Sortir 967#-46.683323#0.908249
IUD-6897-AFG#Sortir 968#-80.173133#-25.382432
QHW-8384-EEK#Sortir 969#33.430152#55.214414
XEK-1068-FRI#Sortir 970#77.999885#-178.55356
FIV-4452-NHC#Sortir 971#-82.931555#-37.1005
OON-9340-QDB#Sortir 972#39.314394#62.112522
TZG-7165-VVP#Sortir 973#80.215904#138.357879
ULQ-1849-YZF#Sortir 974#-19.508435#72.638508
YJI-2219-PPO#Sortir 975#83.479292#-50.91211
TXY-3921-QGC#Sortir 976#54.634754#62.536623
SYP-9614-RHD#Sortir 977#-28.167833#-147.755723
QWT-5469-WKQ#Sortir 978#82.505353#10.908073
RUZ-6809-XCO#Sortir 979#87.127371#127.97433
WTC-8844-RQW#Sortir 980#53.591042#-59.591388
WSP-4931-BMX#Sortir 981#-64.552004#-151.318201
MKA-4894-EOK#Sortir 982#32.54964#99.575715
BHP-0569-QAG#Sortir 983#-66.753107#26.039527
MKF-2083-IFL#Sortir 984#71.593793#-168.435873
ZEQ-8743-HVI#Sortir 985#-2.875989#-103.509263
QVA-9411-VRD#Sortir 986#-35.044633#48.019959
QUW-8026-CVE#Sortir 987#-48.562746#-27.056245
YNL-8306-CUB#Sortir 988#48.883606#-131.109466
FLU-8897-WVV#Sortir 989#13.345922#-165.344541
IFZ-7691-PLD#Sortir 990#-59.103231#128.037798
PQT-0718-HTH#Sortir 991#-25.026233#91.540549
RCB-1676-CRV#Sortir 992#45.874971#-100.668588
FKH-1178-DKH#Sortir 993#72.704034#-155.28406
VDW-6145-IUV#Sortir 994#48.566333#123.082479
PQD-0529-GRM#Sortir 995#77.838391#-23.834239
ZEL-0996-BCE#Sortir 996#81.344563#49.031551
COL-8959-EVG#Sortir 997#19.208497#-10.913864
QOR-9642-LCG#Sortir 998#82.855865#-177.976896
XSE-2760-OTL#Sortir 999#16.012471#73.725702
JOR-2433-AQJ#Sortir 1000#68.213828#-121.808941
IRG-2661-HUT#Sortir 1001#70.731896#109.697211
DRK-6761-JPJ#Sortir 1002#-69.640543#153.638173
WNH-1632-OXH#Sortir 1003#48.67756#16.685387
VRG-5593-AJH#Sortir 1004#29.258026#13.124009
VMP-6011-SJZ#Sortir 1005#-2.352721#-156.32229
PIC-3103-ECT#Sortir 1006#-47.491321#135.970687
SID-8549-CUR#Sortir 1007#-53.766034#152.812982
IIH-1954-JLW#Sortir 1008#32.464699#-83.107795
JBZ-3886-KMI#Sortir 1009#-89.664346#76.245695
SFU-2319-FCP#Sortir 1010#77.174742#-94.32883
CVK-2940-EKU#Sortir 1011#-54.69442#-0.960037
DUR-3439-CNG#Sortir 1012#-84.497928#142.049323
PFF-2960-LFE#Sortir 1013#11.733708#-43.293462
PAB-3551-IGM#Sortir 1014#-35.63481#-3.076781
SUR-4172-ORQ#Sortir 1015#21.404164#54.82738
TUI-3746-GHD#Sortir 1016#28.494801#49.021503
TWD-0833-PTJ#Sortir 1017#-32.330461#75.224564
GND-5198-DBW#Sortir 1018#69.53507#64.496792
NZX-7328-INP#Sortir 1019#-48.157372#169.554412
DMV-9475-HTR#Sortir 1020#-70.456081#68.878585
DVE-8058-JVI#Sortir 1021#32.607528#68.91828
XJA-3799-HJU#Sortir 1022#-41.81143#173.296083
EEQ-4736-AUH#Sortir 1023#8.184849#-71.797722
SLE-6405-EZZ#Sortir 1024#-59.365309#93.271197
SDO-8791-FPF#Sortir 1025#-74.791526#151.42993
VCQ-9938-LBH#Sortir 1026#10.540864#-142.8352
XSY-1078-RRK#Sortir 1027#79.287825#81.427377
YNJ-8188-LXJ#Sortir 1028#45.218481#138.896773
TOK-1756-SRW#Sortir 1029#-84.461676#33.650973
URE-1548-UOC#Sortir 1030#-54.301479#28.053744
JPQ-8367-TFQ#Sortir 1031#-59.571383#-4.220419
XKX-9708-JNL#Sortir 1032#25.996799#-39.257198
NSS-7332-MDH#Sortir 1033#44.45274#46.339502
GYE-8659-GUT#Sortir 1034#-43.694409#-172.580587
ZFL-0867-BNJ#Sortir 1035#80.189823#112.516985
GGJ-2556-UBX#Sortir 1036#-34.684247#17.210948
ZCJ-4440-YTT#Sortir 1037#63.795232#25.820106
IEX-4875-OBM#Sortir 1038#89.545679#134.816757
VCN-5400-YXL#Sortir 1039#20.699835#-71.204902
HCB-5869-GZL#Sortir 1040#-5.535302#79.507014
RVH-1747-UPL#Sortir 1041#39.49603#-32.353722
ZXZ-5933-HEG#Sortir 1042#51.60334#96.421089
ATJ-4842-TGU#Sortir 1043#59.692491#142.840633
NCR-2379-BSA#Sortir 1044#20.938745#-58.862324
MIL-0759-TWX#Sortir 1045#-62.464107#157.095051
BHZ-6466-GAO#Sortir 1046#59.513077#138.123978
MVH-6698-TMA#Sortir 1047#-65.393324#26.392546
NXS-6636-BKV#Sortir 1048#41.761198#-74.258284
CEH-2621-NBQ#Sortir 1049#-53.096415#-144.420578
WYS-2139-AZI#Sortir 1050#85.899868#-33.602366
DGS-1492-NWZ#Sortir 1051#-44.878139#-88.743217
KYN-4485-DPV#Sortir 1052#-19.467335#-172.103874
PZF-3621-SYI#Sortir 1053#65.227032#-135.502645
UYT-2390-HKJ#Sortir 1054#55.390696#21.447172
PHX-4835-AJX#Sortir 1055#47.063665#-89.305168
QOT-6718-ZJE#Sortir 1056#-5.404516#106.328536
RDY-5378-ZOY#Sortir 1057#-10.840505#21.719533
BCN-1915-JNZ#Sortir 1058#-11.036836#59.246053
OAX-1061-WIF#Sortir 1059#-52.904944#104.450934
NBC-8099-KJB#Sortir 1060#-62.87854#71.728529
PJQ-3342-HRI#Sortir 1061#-76.222951#23.083309
XPY-0073-WIW#Sortir 1062#-22.609407#126.774602
IKQ-8165-DVN#Sortir 1063#-80.356289#69.272171
CYO-6937-GKO#Sortir 1064#46.181376#-47.295289
OIN-9101-AKF#Sortir 1065#13.690373#103.658295
YNT-6153-VHN#Sortir 1066#54.768563#12.440271
YZQ-0363-KBA#Sortir 1067#-89.5015#-171.310437
NKS-7298-GLM#Sortir 1068#14.956335#-11.254153
RHN-5153-RJH#Sortir 1069#16.070091#-147.500522
TCR-4349-QZX#Sortir 1070#49.001422#-103.762872
AHL-5188-GJJ#Sortir 1071#36.190968#-103.950582
SEF-1352-HFW#Sortir 1072#-73.448792#-64.560842
NET-2080-GZR#Sortir 1073#-30.121737#-174.355373
ZDC-4341-GNX#Sortir 1074#-69.059823#-50.352069
XAD-4714-KOR#Sortir 1075#68.018001#-66.177592
FZC-9139-XGU#Sortir 1076#14.216142#-48.387754
VHN-6527-YUD#Sortir 1077#35.350905#166.868028
SZX-0007-ZZY#Sortir 1078#-85.178992#18.755635
QZH-5921-SAO#Sortir 1079#-20.906931#-108.827071
UWK-7382-PDT#Sortir 1080#80.771659#167.400657
NYG-5304-QDB#Sortir 1081#-77.002905#148.191171
MHD-5891-LVI#Sortir 1082#24.80076#-109.437154
GXC-7205-JSL#Sortir 1083#-64.207385#-75.760111
TUO-3818-YJW#Sortir 1084#-80.139019#-94.470704
POM-1890-AZX#Sortir 1085#10.619744#156.299298
FPG-8797-QWK#Sortir 1086#-48.641877#106.220457
THE-8726-FRH#Sortir 1087#-88.083018#-91.629538
UNG-6788-MSR#Sortir 1088#-64.548463#0.246642
PYL-7476-VGS#Sortir 1089#-6.398691#-102.540919
WRS-5692-YME#Sortir 1090#72.122177#109.027562
VXA-2768-OZN#Sortir 1091#-69.302157#108.749938
SKI-8066-FLL#Sortir 1092#73.60037#31.420643
FQT-8893-IYM#Sortir 1093#-86.53736#23.310392
JHO-7575-EED#Sortir 1094#-53.313265#-27.975076
HBF-3279-FTS#Sortir 1095#67.526731#-153.819866
BAU-1495-GLH#Sortir 1096#-33.861892#23.319845
BHW-1813-SYW#Sortir 1097#70.011562#153.639966
XST-6522-SSG#Sortir 1098#-40.047043#-12.078374
CPJ-5627-GEZ#Sortir 1099#39.26504#48.3402
ODM-9912-XEG#Sortir 1100#55.060464#-74.324649
