JQX-4025-QVY#Sortir 1#12.770215#61.139949
IWF-6004-TCF#Sortir 955#-9.418232#-46.291631
RFP-4836-YGW#Sortir 956#-71.699897#-134.913102
ZZB-0095-JVX#Sortir 957#-29.057133#14.665061
YNN-4685-WMK#Sortir 958#-44.660386#-177.109359
EBX-3837-QBM#Sortir 959#51.208823#38.383733
GAW-6104-ONO#Sortir 960#-31.961616#-92.8169
IMD-1458-ZNF#Sortir 961#67.34233#-82.655637
ELF-2696-LXV#Sortir 962#-60.838323#-149.927888
MKK-9992-BPO#Sortir 963#89.528998#-16.98751
JOJ-7144-RVP#Sortir 964#74.722358#148.136356
OHM-8941-HVC#Sortir 965#-11.999912#134.722344
YZE-6027-STG#Sortir 966#60.978533#-98.914406
DVA-9061-ZEP#Sortir 967#-41.684288#-38.108126
HEP-4803-ISS#Sortir 968#-1.589132#-14.14683
DFV-1873-GYF#Sortir 969#-73.308481#-155.022673
ZBZ-7109-BRW#Sortir 970#-10.625145#-151.926474
MUI-9435-NSJ#Sortir 971#8.285208#72.339836
FOJ-8190-TUT#Sortir 972#15.354145#-59.707731
BST-6393-AII#Sortir 973#77.194395#-8.070869
DYM-2375-WGX#Sortir 974#15.185088#132.069273
IMW-8685-TWE#Sortir 975#19.112307#174.152611
IBZ-1791-TDX#Sortir 976#-53.059502#-48.133497
VBW-5170-DRT#Sortir 977#76.030005#132.250106
QYP-0801-GLY#Sortir 978#-9.564542#-22.19111
DAH-2105-BNJ#Sortir 979#4.657523#-116.270568
FTH-9901-IAY#Sortir 980#49.286082#56.323844
BUF-1837-LEK#Sortir 981#-0.492664#-27.471462
UTV-9221-DPG#Sortir 982#-77.348257#-90.27183
XOW-3316-ZCP#Sortir 983#-36.186134#150.593915
RQM-7289-OAL#Sortir 984#28.100198#-153.141102
TRQ-5228-BIM#Sortir 985#80.499537#174.632325
BBG-0673-BIL#Sortir 986#-89.716418#17.195992
HEH-0444-CZD#Sortir 987#49.788492#-118.232294
AGJ-9177-NVL#Sortir 988#-51.313506#153.318832
TYR-6027-BHJ#Sortir 989#-37.751772#63.363164
RKB-0407-ADL#Sortir 990#64.576537#98.474703
TDL-5397-XQZ#Sortir 991#7.276191#141.200509
RUU-2675-XQP#Sortir 992#-5.433853#116.797585
UXI-2326-HVF#Sortir 993#78.06523#42.08077
QPL-1361-UNU#Sortir 994#70.750608#88.649938
SKQ-8474-HCA#Sortir 995#18.702289#129.735496
PIP-4665-MOY#Sortir 996#-52.751838#141.376789
YIF-3435-OMM#Sortir 997#64.147045#10.109157
FQI-2738-VGJ#Sortir 998#84.040934#121.594063
BST-1629-VXC#Sortir 999#46.648754#16.947995
EGA-3845-BYL#Sortir 1000#-14.73023#86.676649
